NEPA_DOC_NBR,NEPA_SIGNED_DATE,REGION,DATE_COMP_MIN,DATE_COMP_MAX,PROJECT_DUR_CURRENT,PERCENT_PROJ_COMP,DATE_AWARD_MIN,DATE_AWARD_MAX,FY_AWARD_MIN,FY_AWARD_MAX,FY_PLAN_MIN,FY_PLAN_MAX,FY_COMP_MIN,FY_COMP_MAX,PROJECT_DUR_PLAN_YR,ACT_AREA_DIFF,TOT_AREA_PLAN,TOT_AREA_COMP,NBR_ACTIVITIES,FIRE,RANGE,REC,TIMBER,SAW,WILDLIFE,RESTORE,MISC,ENGI,RICHNESS_TEST,PLAN_TO_AWARD_AVE,PLAN_TO_COMP_AVE,FIRST_ACTIVITY,LAST_ACTIVITY,PROJ_RICHNESS,PROJ_DIVERSE,PROJ_EVENNESS,AREA_RICHNESS,AREA_DIVERSE,AREA_EVENNESS
10255,2007-04-03,10.0,,,,0.0,,,,,2008,2012,,,4,,746.5,0.0,49,0,0,0,38,0,11,0,0,0,2,,,Stand Clearcut (w/ leave trees) (EA/RH/FH),Stand Clearcut (EA/RH/FH),2,0.5325320925925707,0.7682814090975241,0,0.0,-0.0
10278,2008-02-28,2.0,2008-10-05,2013-12-03,1885.0,0.4523809523809524,2008-10-05,2013-12-03,2009.0,2014.0,2008,2014,2009.0,2014.0,6,0.0,463.0,450.0,42,42,0,0,0,0,0,0,0,0,1,0.20512820512820512,0.3684210526315789,Pruning to Raise Canopy Height and Discourage Crown Fire,Burning of Piled Material,1,-0.0,,10,1.627169585253267,0.7066707719962967
10305,2008-02-01,6.0,2020-09-15,2020-09-15,0.0,1.0,2020-09-15,2020-09-15,2020.0,2020.0,2020,2020,2020.0,2020.0,0,0.0,0.5,0.5,1,0,0,0,0,0,0,1,0,0,1,0.0,0.0,"Seeding grasses, forbs and/or shrubs","Seeding grasses, forbs and/or shrubs",1,-0.0,,0,0.0,-0.0
10336,2007-08-13,4.0,2007-10-15,2016-06-30,3181.0,0.6533333333333333,2007-08-16,2016-06-30,2007.0,2016.0,2007,2016,2008.0,2016.0,9,-0.0625,1890.0,1571.0,75,14,0,0,22,0,0,0,39,0,3,0.0,0.02040816326530612,Burning of Piled Material,Sanitation Cut,3,1.01310623636894,0.9221690370832898,6,1.7112650119952784,0.9550751880399124
10337,2007-04-23,9.0,2018-11-13,2021-09-03,1025.0,0.5,2017-09-26,2021-09-03,2017.0,2021.0,2017,2026,2019.0,2021.0,9,0.0,449.0,206.0,10,0,0,0,10,0,0,0,0,0,1,0.0,0.4,Stocking Survey,Site Preparation for Natural Regeneration - Mechanical,1,-0.0,,1,-0.0,
10348,2008-07-14,4.0,2010-10-01,2020-08-15,3606.0,0.6007194244604317,2010-10-01,2018-06-01,2011.0,2018.0,2011,2024,2011.0,2020.0,13,0.24472573839662448,17092.0,15914.2,278,43,12,0,223,0,0,0,0,0,3,0.05485232067510549,1.8323353293413174,"Salvage Cut (intermediate treatment, not regeneration)",Commercial Thin,3,0.6011830208565159,0.5472203679656208,2,0.08048483706800685,0.11611507530476971
10353,2008-09-26,4.0,2010-07-15,2021-11-15,4141.0,0.8996282527881041,2010-06-10,2021-11-15,2010.0,2022.0,2010,2018,2010.0,2022.0,8,-1.2113821138211383,7665.0,6894.0,269,136,0,0,133,0,0,0,0,0,2,0.5650406504065041,1.1074380165289257,"Piling of Fuels, Hand or Machine ",Plant Trees,2,0.6930849910754587,0.9999102795391358,58,3.8755939320876225,0.9544756377620182
10370,2007-04-03,1.0,2008-04-02,2021-09-20,4919.0,0.6,2008-04-02,2020-12-28,2008.0,2021.0,2007,2025,2008.0,2021.0,18,-0.8928571428571429,3525.6000000000004,2526.5,140,71,18,0,47,4,0,0,0,0,4,0.42857142857142855,0.6071428571428571,Underburn - Low Intensity (Majority of Unit),Rearrangement of Fuels,4,1.0760775823456137,0.7762258958309011,31,2.935234043004254,0.8547597495909511
10381,2007-04-05,1.0,2007-09-01,2012-11-06,1893.0,1.0,2007-09-01,2012-11-06,2007.0,2013.0,2007,2012,2007.0,2013.0,5,0.0,170.0,170.0,15,15,0,0,0,0,0,0,0,0,1,0.4666666666666667,0.4666666666666667,"Piling of Fuels, Hand or Machine ",Burning of Piled Material,1,-0.0,,3,1.0096137581740383,0.9189900464321514
10383,2010-04-06,1.0,,,,0.0,,,,,2013,2013,,,0,,5.0,0.0,1,0,0,0,1,0,0,0,0,0,1,,,Patch Clearcut (EA/RH/FH),Patch Clearcut (EA/RH/FH),1,-0.0,,1,-0.0,
10399,2007-06-08,6.0,2008-11-15,2014-11-03,2179.0,0.5,2008-08-20,2014-11-03,2008.0,2015.0,2008,2028,2009.0,2015.0,20,0.0,271.0,139.0,14,6,0,0,8,0,0,0,0,0,2,0.0,0.14285714285714285,Commercial Thin,Commercial Thin,2,0.6829081047004717,0.9852281360342515,0,0.0,-0.0
1042,2007-03-02,9.0,2010-02-26,2018-09-15,3123.0,0.9945054945054945,2009-09-14,2018-09-15,2009.0,2018.0,2009,2024,2010.0,2018.0,15,0.0,6881.0,6854.0,182,1,0,0,178,1,2,0,0,0,4,0.11602209944751381,0.35359116022099446,Stocking Survey,Wildlife Habitat Rehabilitate openings,4,0.12849148755420722,0.09268701594545037,2,0.6931471805599453,1.0
10457,2009-01-14,3.0,2009-06-06,2017-04-22,2877.0,1.0,2009-06-06,2017-04-22,2009.0,2017.0,2008,2017,2009.0,2017.0,9,0.6260869565217392,12899.0,12971.0,115,19,1,0,94,0,1,0,0,0,4,0.3565217391304348,0.7565217391304347,Burning of Piled Material,Stand Silviculture Prescription,4,0.5448099532541828,0.39299730889337875,18,2.859265625035183,0.9892380166059943
10483,2007-05-15,6.0,2009-08-28,2009-08-28,0.0,1.0,2009-08-28,2009-08-28,2009.0,2009.0,2009,2009,2009.0,2009.0,0,0.0,5.0,5.0,1,0,0,0,1,0,0,0,0,0,1,0.0,0.0,Permanent Land Clearing,Permanent Land Clearing,1,-0.0,,0,0.0,-0.0
10501,2009-11-18,1.0,2009-12-18,2009-12-21,3.0,1.0,2009-12-18,2009-12-21,2010.0,2010.0,2007,2010,2010.0,2010.0,3,0.0,736.0,736.0,10,0,0,0,10,0,0,0,0,0,1,0.3,0.3,Stand Silviculture Prescription,Stand Silviculture Prescription,1,-0.0,,9,2.1639556568820564,0.9848586617875463
10508,2007-07-09,5.0,2007-08-27,2019-12-11,4489.0,1.0,2007-08-01,2019-12-11,2007.0,2020.0,2006,2019,2007.0,2020.0,13,0.0,2089.5,2089.5,130,85,0,0,35,0,10,0,0,0,3,0.19230769230769232,0.8076923076923077,Precommercial Thin,Thinning for Hazardous Fuels Reduction,3,0.828392989811376,0.7540357943890004,41,3.576264886624335,0.9630255781728159
10512,2008-05-12,5.0,2011-10-20,2020-11-04,3303.0,0.6753246753246753,2010-08-10,2018-06-25,2010.0,2018.0,2010,2024,2012.0,2021.0,14,0.0,6153.1,5573.9,231,88,8,0,135,0,0,0,0,0,3,0.2736318407960199,2.8525641025641026,Commercial Thin,Commercial Thin,3,0.7980312728737033,0.7263993686445903,50,3.029767671161992,0.7744759340520297
10523,2010-05-26,5.0,2012-07-19,2021-07-26,3294.0,0.9444444444444444,2012-07-19,2021-07-22,2012.0,2021.0,2012,2021,2012.0,2021.0,9,-2.757142857142857,862.6000000000001,738.1,36,0,36,0,0,0,0,0,0,0,1,0.029411764705882353,0.029411764705882353,Invasives - Pesticide Application,Invasives - Pesticide Application,1,-0.0,,30,3.352469878269462,0.9856734267598194
10550,2007-12-19,9.0,2012-08-01,2012-08-01,0.0,1.0,2012-08-01,2012-08-01,2012.0,2012.0,2012,2012,2012.0,2012.0,0,0.0,290.0,290.0,2,0,0,0,0,0,2,0,0,0,1,0.0,0.0,Inland Fish habitat structural maintenance,Inland Fish Log structures,1,-0.0,,0,0.0,-0.0
10580,2007-01-29,1.0,2021-08-17,2021-08-17,0.0,1.0,2021-08-17,2021-08-17,2021.0,2021.0,2021,2021,2021.0,2021.0,0,0.0,12.0,12.0,1,0,0,0,1,0,0,0,0,0,1,0.0,0.0,Pretreatment Exam for Reforestation,Pretreatment Exam for Reforestation,1,-0.0,,1,-0.0,
10619,2007-09-30,4.0,2015-05-27,2017-11-03,891.0,1.0,2015-05-27,2017-11-02,2015.0,2018.0,2015,2018,2015.0,2018.0,3,0.0,980.0,980.0,2,2,0,0,0,0,0,0,0,0,1,0.0,0.0,Broadcast Burning - Covers a majority of the unit,Burning of Piled Material,1,-0.0,,2,0.6931471805599453,1.0
10621,2008-07-23,6.0,2009-06-10,2016-09-29,2668.0,0.6272727272727273,2008-09-24,2016-09-29,2008.0,2016.0,2008,2016,2009.0,2016.0,8,-2.823913043478261,4077.3,3292.5,110,43,21,0,46,0,0,0,0,0,3,0.03260869565217391,0.3333333333333333,Rearrangement of Fuels,Underburn - Low Intensity (Majority of Unit),3,1.047897816651385,0.9538376982127081,29,3.0336807133833137,0.9009249161798474
107,2008-09-08,2.0,2015-09-02,2015-09-02,0.0,1.0,2015-09-02,2015-09-02,2015.0,2015.0,2015,2015,2015.0,2015.0,0,0.0,3.9000000000000004,3.9000000000000004,3,0,0,0,3,0,0,0,0,0,1,0.0,0.0,Harvest Without Restocking,Harvest Without Restocking,1,-0.0,,0,0.0,-0.0
10702,2007-07-15,5.0,,,,0.0,,,,,2008,2009,,,1,,4020.0,0.0,6,4,0,0,2,0,0,0,0,0,2,,,Thinning for Hazardous Fuels Reduction,"Piling of Fuels, Hand or Machine ",2,0.6365141682948128,0.9182958340544894,1,-0.0,
10703,2007-06-11,5.0,2016-03-30,2021-12-14,2085.0,0.4881516587677725,2016-03-30,2021-12-14,2016.0,2022.0,2008,2022,2016.0,2022.0,14,-0.05825242718446602,21449.0,2427.0,211,162,17,0,2,0,30,0,0,0,4,0.2815533980582524,0.2815533980582524,Jackpot Burning - Scattered concentrations,Burning of Piled Material,4,0.7273204606439032,0.5246508108540179,60,3.8619511022818016,0.9432403754963473
10745,2007-05-09,6.0,2013-10-15,2014-06-25,253.0,1.0,2013-10-15,2014-06-25,2014.0,2014.0,2013,2014,2014.0,2014.0,1,0.0,122.0,122.0,5,4,0,0,1,0,0,0,0,0,2,0.2,0.2,"Piling of Fuels, Hand or Machine ","Piling of Fuels, Hand or Machine ",2,0.5004024235381879,0.7219280948873623,4,1.3321790402101223,0.9609640474436812
10873,2007-03-08,8.0,2007-06-15,2015-09-08,3007.0,0.9827586206896551,2007-06-15,2015-09-08,2007.0,2015.0,2007,2015,2007.0,2015.0,8,-2.3385964912280697,3159.2,3023.9,58,0,0,0,58,0,0,0,0,0,1,0.03508771929824561,0.03508771929824561,TSI Certification - Release/weeding,Tree Release and Weed,1,-0.0,,14,2.0234723648898405,0.7667405865657483
10914,2008-06-20,2.0,2009-09-18,2009-09-18,0.0,1.0,2009-09-18,2009-09-18,2009.0,2009.0,2009,2009,2009.0,2009.0,0,-2.5,40.0,35.0,2,2,0,0,0,0,0,0,0,0,1,0.0,0.0,Wildfire - Fuels Benefit,Wildfire - Natural Ignition,1,-0.0,,1,-0.0,
10935,2007-03-28,2.0,2013-06-19,2017-10-18,1582.0,0.6428571428571429,2012-08-30,2017-10-18,2012.0,2018.0,2012,2022,2013.0,2018.0,10,0.0,2370.0,757.0,14,4,2,0,8,0,0,0,0,0,3,0.1111111111111111,0.3333333333333333,Stocking Survey,Invasives - Pesticide Application,3,0.9556998911125343,0.8699155297736259,3,1.0042424730540764,0.914100892018565
10959,2008-03-31,8.0,2009-04-05,2019-12-18,3909.0,0.4657142857142857,2008-08-14,2021-03-24,2008.0,2021.0,2008,2030,2009.0,2020.0,22,-0.8870056497175142,14181.0,9655.0,350,6,0,0,257,1,83,3,0,0,5,0.6271186440677966,0.9386503067484663,Silvicultural Stand Examination,Site Preparation for Natural Regeneration - Burning,5,0.6952968174932829,0.4320122025966953,31,2.682768624585525,0.781240134232751
10975,2009-02-03,8.0,2010-04-05,2013-03-12,1072.0,1.0,2010-04-05,2013-03-11,2010.0,2013.0,2010,2013,2010.0,2013.0,3,-44.0,2138.0,2050.0,2,2,0,0,0,0,0,0,0,0,1,0.0,0.0,Broadcast Burning - Covers a majority of the unit,Broadcast Burning - Covers a majority of the unit,1,-0.0,,1,-0.0,
1103,2011-03-17,2.0,,,,0.0,,,,,2020,2023,,,3,,22.5,0.0,6,0,0,3,0,0,0,0,0,3,2,,,Road Decommissioning,Transporation Related Activities,2,0.6931471805599453,1.0,0,0.0,-0.0
11046,2009-06-08,4.0,2011-09-26,2013-10-26,761.0,0.6,2011-09-26,2013-10-26,2011.0,2014.0,2011,2023,2011.0,2014.0,12,-27.666666666666668,4411.0,2917.0,5,5,0,0,0,0,0,0,0,0,1,0.0,0.0,Underburn - Low Intensity (Majority of Unit),Underburn - Low Intensity (Majority of Unit),1,-0.0,,3,1.0549201679861442,0.9602297178607612
11048,2008-09-17,5.0,2013-09-15,2017-01-23,1226.0,0.875,2013-09-15,2017-01-23,2013.0,2017.0,2013,2015,2013.0,2017.0,2,0.0,10741.0,10301.0,16,7,3,0,0,0,6,0,0,0,3,0.5,0.5,Range Cover Manipulation,Jackpot Burning - Scattered concentrations,3,1.0433534269422904,0.9497012164384108,11,2.3066687254045313,0.9619555747789698
11078,2009-03-05,5.0,2009-08-01,2018-03-01,3134.0,0.7692307692307693,2009-08-01,2018-03-01,2009.0,2018.0,2009,2018,2009.0,2018.0,9,-65.7,1602.0,653.0,13,13,0,0,0,0,0,0,0,0,1,0.0,0.0,Broadcast Burning - Covers a majority of the unit,Compacting/Crushing of Fuels,1,-0.0,,2,0.2711893730418441,0.3912435636292556
11144,2007-05-25,9.0,2008-06-20,2022-04-11,5043.0,0.927710843373494,2008-06-20,2022-04-11,2008.0,2022.0,2003,2022,2008.0,2022.0,19,-0.5766233766233767,294.90000000000003,243.0,83,1,19,0,0,0,63,0,0,0,3,0.06493506493506493,0.06493506493506493,Wildlife Habitat Rehabilitate openings,Wildlife Habitat Prescribed fire,3,0.6000233985576953,0.5461648342611631,55,3.948591418238681,0.9853414317506064
11171,2007-05-07,6.0,2007-10-04,2011-11-09,1497.0,1.0,2007-05-22,2011-11-09,2007.0,2012.0,2007,2007,2008.0,2012.0,0,0.0,1078.0,1078.0,22,16,0,0,6,0,0,0,0,0,2,1.3636363636363635,2.090909090909091,Burning of Piled Material,"Piling of Fuels, Hand or Machine ",2,0.5859526183035508,0.8453509366224364,6,1.771721769306379,0.9888167467420675
11228,2007-02-08,9.0,2008-03-27,2018-07-23,3770.0,1.0,2007-12-11,2018-07-04,2008.0,2018.0,2008,2018,2008.0,2018.0,10,0.0,2697.2999999999997,2697.2999999999997,212,0,8,0,198,1,4,0,0,1,5,0.0047169811320754715,0.2641509433962264,Single-tree Selection Cut (UA/RH/FH),Site Preparation for Natural Regeneration - Other,5,0.3129184357312755,0.19442715578758815,2,0.6931471805599453,1.0
11231,2010-12-14,8.0,2013-08-08,2021-03-05,2766.0,0.8130841121495327,2012-09-21,2021-03-05,2012.0,2021.0,2012,2025,2013.0,2021.0,13,-2.8431578947368426,4519.0,3931.9,107,0,0,0,101,0,6,0,0,0,2,0.0,0.9195402298850575,Stocking Survey,Wildlife Habitat Water development,2,0.216027628701761,0.3116619886230329,2,0.6505706766412187,0.9385750889380636
11291,2008-06-02,9.0,2009-01-30,2017-09-30,3165.0,1.0,2009-01-09,2017-09-30,2009.0,2017.0,2009,2017,2009.0,2017.0,8,0.0,475.0,475.0,29,0,0,0,29,0,0,0,0,0,1,0.13793103448275862,0.13793103448275862,Certification of Natural Regeneration with Site Prep,Certification of Natural Regeneration without Site Prep,1,-0.0,,2,0.5146531654289292,0.7424875695421236
11347,2007-06-01,5.0,2007-08-15,2007-12-06,113.0,1.0,2007-08-15,2007-11-13,2007.0,2008.0,2007,2008,2007.0,2008.0,1,0.0,111.4,111.4,8,1,0,0,7,0,0,0,0,0,2,0.0,0.125,Permanent Land Clearing,"Piling of Fuels, Hand or Machine ",2,0.37677016125643675,0.5435644431995964,1,-0.0,
11350,2007-11-19,5.0,2011-04-01,2021-02-05,3598.0,1.0,2011-04-01,2021-02-05,2011.0,2021.0,2010,2021,2011.0,2021.0,11,0.0,1702.0,1702.0,29,29,0,0,0,0,0,0,0,0,1,0.20689655172413793,0.20689655172413793,Rearrangement of Fuels,Thinning for Hazardous Fuels Reduction,1,-0.0,,6,1.5089776570580065,0.8421764656324772
11352,2007-10-09,5.0,2008-01-15,2016-04-01,2999.0,0.9375,2008-01-15,2016-04-01,2008.0,2016.0,2008,2016,2008.0,2016.0,8,0.0,1695.0,1695.0,16,14,0,0,2,0,0,0,0,0,2,0.0,0.0,"Piling of Fuels, Hand or Machine ",Thinning for Hazardous Fuels Reduction,2,0.37677016125643675,0.5435644431995964,2,0.48257756517701206,0.6962122601251458
11365,2007-08-13,8.0,2007-09-30,2021-09-22,5106.0,0.5671641791044776,2007-09-30,2021-09-22,2007.0,2021.0,2007,2027,2007.0,2021.0,20,-0.0035211267605633804,730.0,480.90000000000003,201,0,0,1,0,0,200,0,0,0,2,0.13380281690140844,0.10526315789473684,Wildlife Habitat Improvement,Wildlife Habitat Seeding and planting,2,0.03134732940431287,0.04522463667671496,4,0.2816214769981826,0.20314695413655165
1137,2010-03-17,5.0,2010-11-15,2018-12-18,2955.0,0.9545454545454546,2010-11-15,2018-12-18,2011.0,2019.0,2011,2019,2011.0,2019.0,8,-56.976190476190474,1907.0,310.5,22,22,0,0,0,0,0,0,0,0,1,0.0,0.0,Rearrangement of Fuels,"Piling of Fuels, Hand or Machine ",1,-0.0,,1,-0.0,
11375,2007-10-31,6.0,2016-05-24,2018-10-28,887.0,1.0,2016-05-24,2018-10-28,2016.0,2019.0,2016,2019,2016.0,2019.0,3,0.0,266.0,266.0,2,2,0,0,0,0,0,0,0,0,1,0.0,0.0,Underburn - Low Intensity (Majority of Unit),Planned Treatment Burned in Wildfire,1,-0.0,,1,-0.0,
11390,2008-05-01,8.0,2009-09-08,2015-07-15,2136.0,1.0,2009-09-08,2015-07-15,2009.0,2015.0,2009,2015,2009.0,2015.0,6,0.0,659.0,659.0,37,0,0,0,33,0,4,0,0,0,2,0.05405405405405406,0.05405405405405406,Shelterwood Establishment Cut (with or without leave trees) (EA/RH/NFH),Wildlife Habitat Water development,2,0.3425415079719701,0.4941829348497886,1,-0.0,
11409,2008-03-18,1.0,2008-03-18,2021-10-26,4970.0,0.8338192419825073,2008-03-18,2022-01-24,2008.0,2022.0,2008,2023,2008.0,2022.0,15,-0.06666666666666667,16520.2,15130.900000000001,343,177,0,0,154,12,0,0,0,0,3,0.2866666666666667,0.965034965034965,Rearrangement of Fuels,Precommercial Thin,3,0.8182316622250575,0.7447865554253279,52,3.7195451961270005,0.9413606097328738
11442,2008-09-29,2.0,2014-08-20,2017-09-30,1137.0,0.8333333333333334,2014-08-20,2017-09-30,2014.0,2017.0,2014,2017,2014.0,2017.0,3,0.0,38102.0,33514.0,6,0,5,0,1,0,0,0,0,0,2,0.0,0.0,Range Cover Manipulation,Range Cover Manipulation,2,0.45056120886630463,0.6500224216483541,0,0.0,-0.0
11510,2007-11-05,8.0,2008-09-15,2015-07-13,2492.0,0.9615384615384616,2008-09-15,2015-07-13,2008.0,2015.0,2008,2015,2008.0,2015.0,7,-0.08600000000000002,865.0,838.7,52,0,0,0,28,0,24,0,0,0,2,0.04,0.06,Precommercial Thin,Wildlife Habitat Seeding and planting,2,0.6901856760188042,0.9957274520849256,2,0.5159878967418371,0.7444131797881749
11577,2007-07-25,1.0,2013-12-27,2014-12-02,340.0,1.0,2012-09-25,2014-12-02,2012.0,2015.0,2012,2015,2014.0,2015.0,3,0.0,25.0,25.0,2,1,0,0,1,0,0,0,0,0,2,0.0,1.0,Burning of Piled Material,Commercial Thin,2,0.6931471805599453,1.0,1,-0.0,
11584,2008-01-28,4.0,2012-07-03,2015-09-01,1155.0,0.6363636363636364,2009-07-23,2015-09-01,2009.0,2015.0,2009,2015,2012.0,2015.0,6,0.6,424.0,393.6,33,13,12,0,8,0,0,0,0,0,3,0.0,0.6190476190476191,Burning of Piled Material,Invasives - Pesticide Application,3,1.0783635075908844,0.9815687651721302,7,1.8296304471787044,0.940244053954362
11790,2007-09-18,3.0,2015-08-05,2015-08-05,0.0,1.0,2015-08-05,2015-08-05,2015.0,2015.0,2015,2015,2015.0,2015.0,0,0.0,4200.0,4200.0,1,0,1,0,0,0,0,0,0,0,1,0.0,0.0,Range Cover Manipulation,Range Cover Manipulation,1,-0.0,,0,0.0,-0.0
11802,2010-07-27,4.0,2010-10-01,2021-06-01,3896.0,0.6153846153846154,2010-10-01,2021-06-01,2011.0,2021.0,2010,2021,2011.0,2021.0,11,0.0,5068.0,5050.0,78,39,0,0,35,0,0,0,4,0,3,0.8701298701298701,1.6458333333333333,Yarding - Removal of Fuels by Carrying or Dragging,Underburn - Low Intensity (Majority of Unit),3,0.8584874959759348,0.7814289944059449,31,3.3193958007487563,0.9666302181945461
