NEPA_DOC_NBR,PROJECT NAME,LMU – REGION,REGION_ID,DISTRICT_ID,LMU (ACTUAL),PROJECT CREATED,INITIATION DATE,INITIATION FY,DECISION SIGNED,SIGNED FY,DECISION TYPE,APPEALED OR OBJECTED?,NO COMMENTS OR ONLY SUPPORT?,LITIGATED?,ELAPSED DAYS,HF Fuels management – purpose,TM Forest products – purpose,VM Vegetation management (non-forest products) – purpose,NEPA_SIGNED_DATE,REGION,DATE_COMP_MIN,DATE_COMP_MAX,PROJECT_DUR_CURRENT,PERCENT_PROJ_COMP,DATE_AWARD_MIN,DATE_AWARD_MAX,FY_AWARD_MIN,FY_AWARD_MAX,FY_PLAN_MIN,FY_PLAN_MAX,FY_COMP_MIN,FY_COMP_MAX,PROJECT_DUR_PLAN_YR,ACT_AREA_DIFF,TOT_AREA_PLAN,TOT_AREA_COMP,NBR_ACTIVITIES,FIRE,RANGE,REC,TIMBER,SAW,WILDLIFE,RESTORE,MISC,ENGI,RICHNESS_TEST,PLAN_TO_AWARD_AVE,PLAN_TO_COMP_AVE,FIRST_ACTIVITY,LAST_ACTIVITY,PROJ_RICHNESS,PROJ_DIVERSE,PROJ_EVENNESS,AREA_RICHNESS,AREA_DIVERSE,AREA_EVENNESS,TOTAL_PROJECT_DAYS,NEPA_TO_LAST_ACT,NEPA_TO_FIRST_ACT,NEPA_TO_CONTRACT
17200,Upper Kinzua,R9,9.0,91903.0,Bradford Ranger District (11091903),09/05/2006,2009-02-25,2009.0,2011-06-17,2011.0,DN,1.0,0.0,0.0,842.0,0.0,1.0,1.0,2011-06-17,9.0,2011-07-15,2022-04-28,3940.0,0.6292682926829268,2011-07-15,2022-04-28,2011.0,2022.0,2011.0,2030.0,2011.0,2022.0,19.0,-0.33074999999999993,13789.6,8670.300000000001,615.0,0.0,47.0,0.0,546.0,0.0,13.0,7.0,0.0,2.0,5.0,0.005,0.4160206718346253,Tree Release and Weed,Site Preparation for Natural Regeneration - Chemical,5.0,0.4532663245730252,0.2816302021166564,117.0,4.4089140839457,0.9258196244637884,4810.0,3968.0,28.0,28.0
17233,Poncha Loop Management Project,R2,2.0,21202.0,Salida Ranger District (11021202),09/12/2006,2016-03-20,2016.0,2017-06-29,2017.0,DN,0.0,0.0,0.0,466.0,1.0,1.0,1.0,2017-06-29,2.0,2019-06-21,2021-02-15,605.0,0.8055555555555556,2019-03-11,2021-02-15,2019.0,2021.0,2019.0,2021.0,2019.0,2021.0,2.0,0.0,2006.0,1771.0,36.0,19.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,Precommercial Thin,Commercial Thin,2.0,0.6916031758694977,0.997772472089982,2.0,0.4253282933732617,0.6136190195993708,1793.0,1327.0,722.0,620.0
17265,Big Mountain Roads Tree Removal Project,R5,5.0,51454.0,Big Bar Ranger District (11051454),09/14/2006,2009-10-06,2010.0,2010-12-22,2011.0,DM,0.0,1.0,0.0,442.0,1.0,1.0,0.0,2010-12-22,5.0,2011-12-15,2011-12-15,0.0,1.0,2011-07-14,2011-07-14,2011.0,2011.0,2011.0,2011.0,2012.0,2012.0,0.0,0.0,567.0,567.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,Rearrangement of Fuels,Rearrangement of Fuels,1.0,-0.0,,1.0,-0.0,,800.0,358.0,358.0,204.0
184,Burro Forest Restoration Project,R3,3.0,30606.0,Reserve Ranger District (11030606),09/23/2003,2011-05-04,2011.0,2015-03-11,2015.0,DN,0.0,1.0,0.0,1407.0,1.0,1.0,1.0,2015-03-11,3.0,2015-09-01,2021-04-02,2040.0,0.3357142857142857,2015-09-01,2021-04-02,2015.0,2021.0,2014.0,2029.0,2015.0,2021.0,15.0,0.0,36352.7,19553.3,140.0,37.0,0.0,0.0,87.0,0.0,14.0,0.0,0.0,2.0,4.0,0.3404255319148936,0.3404255319148936,Commercial Thin,Broadcast Burning - Covers a majority of the unit,4.0,0.9382776649913143,0.6768242671299226,6.0,1.55814461804655,0.8696170690354138,3621.0,2214.0,174.0,174.0
1842,Modoc Restoration Project,R6,6.0,60211.0,Chemult Ranger District (11060211),03/19/2004,2009-11-02,2010.0,2011-09-23,2011.0,DN,1.0,0.0,0.0,690.0,1.0,1.0,0.0,2011-09-23,6.0,2014-01-30,2021-10-10,2810.0,0.5714285714285714,2012-09-21,2020-05-04,2012.0,2020.0,2012.0,2025.0,2014.0,2022.0,13.0,0.0,11601.0,8117.0,203.0,72.0,3.0,0.0,89.0,4.0,0.0,0.0,35.0,0.0,5.0,0.22033898305084745,1.2672413793103448,Disease Prevention,"Piling of Fuels, Hand or Machine ",5.0,1.1718917231899164,0.7281372671391575,53.0,3.8502599327083056,0.9697674671139164,4360.0,3670.0,860.0,364.0
18711,Fish Camp Project,R5,5.0,51551.0,Bass Lake Ranger District (11051551),12/13/2006,2010-08-12,2010.0,2011-05-18,2011.0,ROD,1.0,0.0,0.0,279.0,1.0,1.0,1.0,2011-05-18,5.0,2012-06-15,2013-11-08,511.0,0.41509433962264153,2012-06-15,2013-11-08,2012.0,2014.0,2012.0,2014.0,2012.0,2014.0,2.0,-26.859615384615385,2460.5,1054.8,53.0,9.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.045454545454545456,Burning of Piled Material,Precommercial Thin,2.0,0.4555869118836413,0.6572729784684465,5.0,0.8526087666554192,0.5297556122347963,1184.0,905.0,394.0,394.0
18963,Bucks Lake Hazardous Fuels Reduction Project,R5,5.0,51102.0,Mt. Hough Ranger District (11051102),12/18/2006,2011-05-04,2011.0,2012-05-24,2012.0,DN,0.0,1.0,0.0,386.0,1.0,1.0,1.0,2012-05-24,5.0,2012-07-07,2021-12-12,3445.0,0.402088772845953,2012-07-07,2021-12-12,2012.0,2022.0,2012.0,2025.0,2012.0,2022.0,13.0,0.006185567010309279,4681.999999999999,2204.0,383.0,168.0,0.0,0.0,194.0,0.0,21.0,0.0,0.0,0.0,3.0,1.097938144329897,2.4545454545454546,Commercial Thin,Tree Release and Weed,3.0,0.8652010398589096,0.7875399253979093,126.0,4.5330068410641084,0.9372916898306829,3875.0,3489.0,44.0,44.0
18997,Russell Vegetation Management Project,R3,3.0,30704.0,Tusayan Ranger District (11030704),12/19/2006,2010-04-19,2010.0,2011-08-19,2011.0,DN,0.0,0.0,0.0,487.0,1.0,0.0,1.0,2011-08-19,3.0,2013-09-15,2021-12-06,3004.0,0.8125,2013-08-08,2021-12-06,2013.0,2022.0,2013.0,2022.0,2013.0,2022.0,9.0,1.4230769230769231,11189.0,10764.0,32.0,18.0,0.0,0.0,10.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,0.11538461538461539,"Pollinator habitat improved, restored or maintained",Broadcast Burning - Covers a majority of the unit,3.0,0.9470571522825082,0.8620485698650452,7.0,1.2511595591187474,0.6429688234711924,4249.0,3762.0,758.0,720.0
19071,Munds Park Fuels Reduction,R3,3.0,30408.0,Flagstaff Ranger District (11030408),12/20/2006,2009-07-29,2009.0,2009-12-15,2010.0,DN,0.0,0.0,0.0,139.0,1.0,0.0,0.0,2009-12-15,3.0,2010-11-20,2018-09-14,2855.0,0.9090909090909091,2010-09-20,2018-09-14,2010.0,2018.0,2010.0,2024.0,2011.0,2018.0,14.0,-142.4,5288.0,2388.0,22.0,8.0,0.0,0.0,11.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,1.0,"Piling of Fuels, Hand or Machine ",Group Selection Cut (UA/RH/FH),3.0,0.9861234897117208,0.8976082826337547,1.0,-0.0,,3334.0,3195.0,340.0,279.0
19216,Upper White River Integrated Resource Project,R9,9.0,92005.0,Rochester Ranger District (11092005),12/22/2006,2009-04-16,2009.0,2010-09-15,2010.0,DN,0.0,0.0,0.0,517.0,1.0,1.0,1.0,2010-09-15,9.0,2012-11-01,2022-02-28,3406.0,0.8876404494382022,2012-07-26,2021-10-19,2012.0,2022.0,2012.0,2026.0,2013.0,2022.0,14.0,0.003125,6946.0,6196.0,356.0,0.0,0.0,0.0,291.0,1.0,64.0,0.0,0.0,0.0,3.0,0.103125,1.0,Two-aged Shelterwood Establishment Cut (w/res) (2A/RH/NFH),Wildlife Habitat Rehabilitate openings,3.0,0.48980267444213355,0.44583760758396423,26.0,3.1733025199659894,0.9739743690630527,4701.0,4184.0,778.0,680.0
19248,Boa Prescribed Burn,R5,5.0,51253.0,Cajon Ranger District (11051253),12/27/2006,2011-04-01,2011.0,2013-09-25,2013.0,DM,0.0,1.0,0.0,908.0,1.0,0.0,0.0,2013-09-25,5.0,2014-06-02,2016-05-06,704.0,1.0,2014-06-02,2016-05-06,2014.0,2016.0,2013.0,2013.0,2014.0,2016.0,0.0,0.0,32.0,32.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.5,2.5,Burning of Piled Material,Compacting/Crushing of Fuels,1.0,-0.0,,1.0,-0.0,,1862.0,954.0,250.0,250.0
19249,Angelus Oaks Understory Burn,R5,5.0,51254.0,San Gorgonio Ranger District (11051254),12/27/2006,2010-09-16,2010.0,2012-04-24,2012.0,DN,0.0,1.0,0.0,586.0,1.0,0.0,0.0,2012-04-24,5.0,2013-05-01,2022-05-24,3310.0,0.75,2013-04-12,2021-03-09,2013.0,2021.0,2012.0,2021.0,2013.0,2022.0,9.0,0.0,968.0,731.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,1.25,Burning of Piled Material,Thinning for Hazardous Fuels Reduction,1.0,-0.0,,1.0,-0.0,,4268.0,3682.0,372.0,353.0
19669,Alpine County Aspen Enhancment Personal Use Fuelwood Fuels Reduction Project,R4,4.0,41701.0,Carson Ranger District (11041701),03/14/2007,2009-07-15,2009.0,2010-03-22,2010.0,DM,0.0,0.0,0.0,250.0,1.0,1.0,0.0,2010-03-22,4.0,2010-06-02,2015-10-23,1969.0,0.9285714285714286,2010-06-02,2015-09-15,2010.0,2015.0,2010.0,2015.0,2010.0,2016.0,5.0,-12.846153846153847,583.0,330.0,14.0,8.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,1.3076923076923077,1.5384615384615385,Thinning for Hazardous Fuels Reduction,Burning of Piled Material,2.0,0.6829081047004717,0.9852281360342515,4.0,1.3421131789144005,0.9681300137657639,2291.0,2041.0,72.0,72.0
19692,Invasive Plant Management EIS for the Medicine Bow - Routt NFs and Thunder Basin NG,R2,2.0,20600.0,Medicine Bow-Routt National Forest All Units (11020600),03/15/2007,2010-12-01,2011.0,2015-08-19,2015.0,ROD,0.0,0.0,0.0,1722.0,1.0,0.0,1.0,2015-08-19,2.0,2015-08-19,2021-11-05,2270.0,0.9973913043478261,2015-08-19,2021-11-05,2015.0,2022.0,2015.0,2021.0,2015.0,2022.0,6.0,-200.09276373147438,303079.80000000005,69098.59999999999,1150.0,8.0,1142.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0017436791630340018,0.0017436791630340018,Invasives - Pesticide Application,Invasives - Pesticide Application,2.0,0.04149279530506973,0.05986145001924497,947.0,6.731465109402736,0.982222578917579,3992.0,2270.0,0.0,0.0
20130,Ashley-Herrig Resource Management Project,R1,1.0,11008.0,Tally Lake Ranger District (11011008),03/26/2007,2009-02-27,2009.0,2009-10-22,2010.0,DN,0.0,0.0,0.0,237.0,1.0,1.0,1.0,2009-10-22,1.0,2011-06-13,2021-10-30,3792.0,0.9455337690631809,2010-09-21,2021-10-30,2010.0,2022.0,2010.0,2032.0,2011.0,2022.0,22.0,-0.1313364055299539,10944.599999999999,10468.5,459.0,199.0,0.0,0.0,256.0,0.0,1.0,0.0,3.0,0.0,4.0,0.43548387096774194,0.5944700460829493,Burning of Piled Material,"Piling of Fuels, Hand or Machine ",4.0,0.7342159556532547,0.5296248590812508,45.0,3.3329766427937266,0.8755640017339248,4628.0,4391.0,599.0,334.0
20168,Elk Camp Fuelbreak (formerly Gasquet Shaded Fuelbreak) Project,R5,5.0,51051.0,Gasquet Ranger District/Smith River NRA (11051051),03/26/2007,2009-02-19,2009.0,2009-04-13,2009.0,DM,0.0,0.0,0.0,53.0,1.0,0.0,0.0,2009-04-13,5.0,2009-06-19,2021-01-20,4233.0,0.7,2009-06-19,2022-05-03,2009.0,2022.0,2009.0,2022.0,2009.0,2021.0,13.0,0.0,1794.0,1494.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,"Piling of Fuels, Hand or Machine ",Fuel Inventory,1.0,-0.0,,2.0,0.6730116670092565,0.9709505944546688,4353.0,4300.0,67.0,67.0
20608,Invasive Species Control in Managed Openings,R8,8.0,80811.0,Eastern Divide Ranger District (11080811),03/30/2007,2009-03-05,2009.0,2009-06-01,2009.0,DN,0.0,0.0,0.0,88.0,0.0,0.0,1.0,2009-06-01,8.0,2009-07-15,2011-07-15,730.0,0.47058823529411764,2009-07-15,2011-07-15,2009.0,2011.0,2009.0,2025.0,2009.0,2011.0,16.0,0.0,923.0,812.0,17.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Invasives - Pesticide Application,Invasives - Pesticide Application,1.0,-0.0,,7.0,1.6459168300174676,0.8458339306244513,862.0,774.0,44.0,44.0
2075,Black Hills Vegetation Management,R6,6.0,60201.0,Bly Ranger District (11060201),03/25/2004,2009-06-10,2009.0,2012-01-11,2012.0,DN,0.0,0.0,0.0,945.0,1.0,1.0,1.0,2012-01-11,6.0,2013-02-13,2021-07-09,3068.0,0.7341236240474175,2012-09-28,2021-11-15,2012.0,2022.0,2012.0,2024.0,2013.0,2021.0,12.0,0.046553267681289166,124408.0,120809.0,1181.0,694.0,70.0,0.0,292.0,0.0,0.0,0.0,125.0,0.0,4.0,0.3142345568487019,2.239907727797001,Burning of Piled Material,Single-tree Selection Cut (UA/RH/FH),4.0,1.0630909610235237,0.76685802874126,213.0,5.283310025508029,0.9854545997884303,4412.0,3467.0,399.0,261.0
2111,Frazier Mountain Vegetation Management,R5,5.0,50757.0,Mt. Pinos Ranger District (11050757),03/26/2004,2010-09-13,2010.0,2012-05-29,2012.0,DN,0.0,1.0,0.0,624.0,1.0,1.0,1.0,2012-05-29,5.0,2013-02-15,2021-06-30,3057.0,0.8928571428571429,2013-02-15,2021-06-30,2013.0,2021.0,2013.0,2021.0,2013.0,2021.0,8.0,0.0,1980.0,1862.0,56.0,40.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,Rearrangement of Fuels,Precommercial Thin,2.0,0.5982695885852573,0.8631205685666311,3.0,0.1788313601195989,0.16277931893188916,3943.0,3319.0,262.0,262.0
21144,Robo Elk,R1,1.0,11752.0,Palouse Ranger District (11010502),06/15/2007,2009-03-27,2009.0,2011-04-18,2011.0,ROD,1.0,0.0,0.0,752.0,1.0,1.0,0.0,2011-04-18,1.0,2015-09-20,2021-11-01,2234.0,0.841726618705036,2012-09-20,2021-11-01,2012.0,2022.0,2012.0,2025.0,2015.0,2022.0,13.0,-0.20425531914893616,5908.200000000001,5033.1,278.0,149.0,0.0,0.0,129.0,0.0,0.0,0.0,0.0,0.0,2.0,0.548936170212766,1.4316239316239316,Fuel Break,Planned Treatment Burned in Wildfire,2.0,0.6905570858182302,0.996263283160695,58.0,3.4123859876252705,0.8403974587901091,4602.0,3850.0,1616.0,521.0
21182,Tonka Timber Sale,R10,10.0,100521.0,Petersburg Ranger District (11100521),06/18/2007,2009-02-25,2009.0,2012-03-28,2012.0,ROD,0.0,0.0,0.0,1127.0,0.0,1.0,0.0,2012-03-28,10.0,2013-04-01,2018-08-30,1977.0,0.8410852713178295,2012-09-24,2018-08-30,2012.0,2018.0,2012.0,2032.0,2013.0,2018.0,20.0,-0.013824884792626729,7819.0,6696.0,258.0,0.0,0.0,0.0,258.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5898617511520737,Stocking Survey,Pretreatment Exam for Release or Precommercial Thinning,1.0,-0.0,,0.0,0.0,-0.0,3473.0,2346.0,369.0,180.0
21280,Little Dean Fuels Vegetation Management,R6,6.0,61631.0,Whitman Ranger District (11061631),06/21/2007,2013-04-24,2013.0,2015-08-31,2015.0,DN,0.0,0.0,0.0,859.0,1.0,1.0,1.0,2015-08-31,6.0,2017-10-15,2021-12-15,1522.0,0.16688567674113008,2016-09-20,2021-12-15,2016.0,2022.0,2016.0,2026.0,2018.0,2022.0,10.0,0.0,58470.0,14062.0,761.0,422.0,12.0,0.0,312.0,7.0,3.0,5.0,0.0,0.0,6.0,0.006191950464396285,0.2204724409448819,"Piling of Fuels, Hand or Machine ",Commercial Thin,6.0,0.8559309736451635,0.4777041719857213,155.0,4.955252767183312,0.9825173671281167,3157.0,2298.0,776.0,386.0
21353,May Valley Hazardous Fuels Reduction,R5,5.0,51255.0,San Jacinto Ranger District (11051255),06/24/2007,2010-07-28,2010.0,2012-08-31,2012.0,DN,0.0,1.0,0.0,765.0,1.0,0.0,0.0,2012-08-31,5.0,2017-03-15,2020-11-17,1343.0,0.8888888888888888,2017-03-15,2020-08-17,2017.0,2020.0,2012.0,2020.0,2017.0,2021.0,8.0,0.0,281.0,244.0,9.0,6.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,1.25,2.0,"Piling of Fuels, Hand or Machine ","Piling of Fuels, Hand or Machine ",2.0,0.6365141682948128,0.9182958340544894,4.0,1.2730283365896258,0.9182958340544897,3765.0,3000.0,1657.0,1657.0
21662,Stanley Lake Recreation Complex Reconstruction,R4,4.0,41404.0,Sawtooth National Recreation Area (11041404),06/28/2007,2009-07-01,2009.0,2011-09-07,2011.0,DN,0.0,0.0,0.0,798.0,0.0,0.0,1.0,2011-09-07,4.0,2015-07-31,2015-09-29,60.0,0.25,2015-03-27,2018-04-27,2015.0,2018.0,2015.0,2024.0,2015.0,2015.0,9.0,-2.2857142857142856,190.5,122.1,16.0,3.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,Burning of Piled Material,"Salvage Cut (intermediate treatment, not regeneration)",2.0,0.48257756517701206,0.6962122601251458,2.0,0.5623351446188083,0.8112781244591328,2281.0,1483.0,1423.0,1297.0
21680,Equine Thin Project,R6,6.0,61026.0,Gold Beach Ranger District (11061026),06/28/2007,2010-10-20,2011.0,2012-04-13,2012.0,DN,1.0,0.0,0.0,541.0,0.0,1.0,1.0,2012-04-13,6.0,2012-09-12,2021-10-20,3325.0,0.7448275862068966,2012-09-12,2021-10-20,2012.0,2022.0,2012.0,2025.0,2012.0,2022.0,13.0,-0.23148148148148148,3233.0,2361.0,145.0,69.0,0.0,0.0,71.0,0.0,2.0,3.0,0.0,0.0,4.0,0.05555555555555555,0.05555555555555555,Re-vegetation monitoring for germination / survival of seeds and/or plants,Stocking Survey,4.0,0.842349250598033,0.6076265432671585,35.0,3.4270290794335048,0.9639081800609549,4018.0,3477.0,152.0,152.0
